calculation_method;calc_trigger_time;route_start_time;route_end_time;device_fingerprint;Geo Shape
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537938723571212, 47.378924642968165], [8.537938737600914, 47.378924643776166]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537938737600914, 47.378924643776166], [8.537938835526575, 47.37892470932495]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537938835526575, 47.37892470932495], [8.537938694818763, 47.37892464131223]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537938694818763, 47.37892464131223], [8.537927448301433, 47.37888296510813]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537927448301433, 47.37888296510813], [-492.6413691459886, -1809.840478693485]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[-492.6413691459886, -1809.840478693485], [2.1150336409520394, 23.57757405023855]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[2.1150336409520394, 23.57757405023855], [8.537927430633014, 47.378882980570395]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537927430633014, 47.378882980570395], [8.53792754120329, 47.378882959168244]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.53792754120329, 47.378882959168244], [8.537550138140702, 47.3776963724781]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537550138140702, 47.3776963724781], [8.537938765002732, 47.37892458270401]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537938765002732, 47.37892458270401], [8.537938872849516, 47.37892458891519]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.537938872849516, 47.37892458891519], [8.538208701726035, 47.37894012905062]], ""type"": ""LineString""}"
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Sat Apr 09 22:47:45 CEST 2022;Fri Apr 08 20:09:47 CEST 2022;Fri Apr 08 20:09:51 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;"{""coordinates"": [[8.538208701726035, 47.37894012905062], [-458.29777595574535, -1682.5735612963342]], ""type"": ""LineString""}"
